id,prefecture_en,priority_measures_start,priority_measures_end,times
4,Miyagi,2021-04-05,2021-05-11,1
11,Saitama,2021-04-20,2021-08-01,1
12,Chiba,2021-04-20,2021-08-01,1
13,Tokyo,2021-04-12,2021-04-25,1
14,Kanagawa,2021-04-20,2021-08-01,1
23,Aichi,2021-04-20,2021-05-11,1
26,Kyoto,2021-04-12,2021-04-25,1
27,Osaka,2021-04-05,2021-04-25,1
28,Hyogo,2021-04-05,2021-04-25,1
47,Okinawa,2021-04-12,2021-05-22,1
38,Ehime,2021-04-25,2021-05-22,1
1,Hokkaido,2021-05-09,2021-05-15,1
21,Gifu,2021-05-09,2021-06-20,1
24,Mie,2021-05-09,2021-06-20,1
10,Gunma,2021-05-16,2021-06-13,1
17,Ishikawa,2021-05-16,2021-06-13,1
43,Kumamoto,2021-05-16,2021-06-13,1
1,Hokkaido,2021-06-21,2021-07-11,2
13,Tokyo,2021-06-21,2021-07-11,2
23,Aichi,2021-06-21,2021-07-11,2
26,Kyoto,2021-06-21,2021-07-11,2
27,Osaka,2021-06-21,2021-08-01,2
28,Hyogo,2021-06-21,2021-07-11,2
40,Fukuoka,2021-06-21,2021-07-11,1
1,Hokkaido,2021-08-02,2021-08-26,3
17,Ishikawa,2021-08-02,2021-09-30,2
26,Kyoto,2021-08-02,2021-08-19,3
28,Hyogo,2021-08-02,2021-08-19,3
40,Fukuoka,2021-08-02,2021-08-19,2
7,Fukushima,2021-08-08,2021-09-30,1
8,Ibaraki,2021-08-08,2021-08-19,1
9,Tochigi,2021-08-08,2021-08-19,1
10,Gunma,2021-08-08,2021-08-19,2
22,Shizuoka,2021-08-08,2021-08-19,1
23,Aichi,2021-08-08,2021-08-26,3
25,Shiga,2021-08-08,2021-08-26,1
43,Kumamoto,2021-08-08,2021-09-30,2
4,Miyagi,2021-08-20,2021-08-26,2
16,Toyama,2021-08-20,2021-09-12,1
19,Yamanashi,2021-08-20,2021-09-12,1
21,Gifu,2021-08-20,2021-08-26,2
24,Mie,2021-08-20,2021-08-26,2
33,Okayama,2021-08-20,2021-08-26,1
34,Hiroshima,2021-08-20,2021-08-26,1
37,Kagawa,2021-08-20,2021-09-30,1
38,Ehime,2021-08-20,2021-09-12,2
46,Kagoshima,2021-08-20,2021-09-30,1
39,Kochi,2021-08-27,2021-09-12,1
41,Saga,2021-08-27,2021-09-12,1
42,Nagasaki,2021-08-27,2021-09-12,1
45,Miyazaki,2021-08-27,2021-09-30,1
4,Miyagi,2021-09-13,2021-09-30,3
33,Okayama,2021-09-13,2021-09-30,2
34,Hiroshima,2022-01-09,2022-03-06,2
35,Yamaguchi,2022-01-09,2022-02-20,1
47,Okinawa,2022-01-09,2022-02-20,2
10,Gunma,2022-01-21,,3
11,Saitama,2022-01-21,,2
12,Chiba,2022-01-21,,2
13,Tokyo,2022-01-21,,3
14,Kanagawa,2022-01-21,,2
15,Niigata,2022-01-21,2022-03-06,1
21,Gifu,2022-01-21,,3
23,Aichi,2022-01-21,,4
24,Mie,2022-01-21,2022-03-06,3
37,Kagawa,2022-01-21,,2
42,Nagasaki,2022-01-21,2022-03-06,2
43,Kumamoto,2022-01-21,,3
45,Miyazaki,2022-01-21,2022-03-06,2
1,Hokkaido,2022-01-27,,4
2,Aomori,2022-01-27,,1
6,Yamagata,2022-01-27,2022-02-20,1
7,Fukushima,2022-01-27,2022-03-06,2
8,Ibaraki,2022-01-27,,2
9,Tochigi,2022-01-27,,2
17,Ishikawa,2022-01-27,,3
20,Nagano,2022-01-27,2022-03-06,1
22,Shizuoka,2022-01-27,,2
26,Kyoto,2022-01-27,,4
27,Osaka,2022-01-27,,3
28,Hyogo,2022-01-27,,4
32,Shimane,2022-01-27,2022-02-20,1
33,Okayama,2022-01-27,2022-03-06,3
40,Fukuoka,2022-01-27,2022-03-06,3
41,Saga,2022-01-27,2022-03-06,2
44,Oita,2022-01-27,2022-02-20,1
46,Kagoshima,2022-01-27,2022-03-06,2
30,Wakayama,2022-02-05,2022-03-06,1
39,Kochi,2022-02-12,,2
